Objectid,Symbol,Name,Height,Longitude,Latitude,Elevation,Pixel_x_1898.jpg,Pixel_y_1898.jpg,Pixel_x_1900-1910.jpg,Pixel_y_1900-1910.jpg,Pixel_x_1920-1930.jpg,Pixel_y_1920-1930.jpg,Pixel_x_Kuliang.jpg,Pixel_y_Kuliang.jpg,Pixel_x_Siems Siemssen.jpg,Pixel_y_Siems Siemssen.jpg,
1,128,尤马利、尤仁别墅,,119.389032,26.09825,,0,0,460,2052,0,0,0,0,772,585,
2,131,咸显理别墅,,119.389187,26.098346,,0,0,0,0,0,0,605,1009,999,566,
3,135,弼履任别墅,,119.388895,26.098829,,0,0,971,1832,0,0,199,682,947,503,
4,143,福州电气股份公司别墅,,119.389534,26.098068,,42,467,1224,2134,0,0,1105,1238,1068,625,
5,147,邮局,,119.390002,26.097914,,0,0,0,0,0,0,0,0,0,0,
6,160,得福居,,119.390036,26.098989,,528,287,2448,1735,879,445,3512,419,1529,470,
7,164,“小橄榄树”别墅,,119.389685,26.099065,,0,0,0,0,736,454,2620,460,1381,470,
8,168,美国归正教会别墅,,119.389356,26.099046,,212,307,1824,1766,0,0,1944,537,1276,478,
9,170,木约翰别墅,,119.391458,26.098916,,1385,462,4411,2164,1552,555,7639,1176,0,0,
10,172,苾蕴德、苾蕴玉别墅,,119.390518,26.099841,,916,285,3519,1700,1164,439,5263,397,1933,465,
11,176,萨伟廉别墅,,119.390072,26.09975,,616,254,2863,1629,928,422,3800,260,1661,435,
12,180,孟华利别墅,,119.389467,26.099607,,336,262,2242,1654,0,0,2456,339,1421,438,
13,184,林属智别墅,,119.391119,26.100643,,1530,317,5366,1715,1613,453,8047,508,0,0,
14,193,商务书局,,119.390847,26.097068,,0,0,0,0,0,0,0,0,0,0,
15,195,美华书局,,119.390986,26.097021,,0,0,0,0,0,0,0,0,0,0,
16,199,万国公益社,,119.391484,26.097083,,659,610,1803,2558,1072,655,4671,1747,1426,794,
17,265,陈天恩别墅,,119.390363,26.097188,,0,0,404,2334,391,622,521,1466,819,688,
18,272,力亨利别墅,,119.390481,26.096329,,0,0,0,0,193,879,0,0,473,974,
19,290,教堂,,119.391082,26.096572,,75,727,391,2796,625,755,1841,2300,873,880,
20,308,施家别墅,,119.392797,26.096318,,1742,712,2871,2902,1946,667,0,0,2138,981,
21,311,左察理别墅,,119.39318,26.096691,,0,0,0,0,0,0,0,0,0,0,
22,312,多察理别墅,,119.393457,26.096118,,0,0,0,0,0,0,0,0,0,0,
23,315,陶信明别墅,,119.393766,26.096254,,0,0,5230,2560,0,0,0,0,0,0,
24,316,裨益知别墅,,119.394356,26.095756,,0,0,6485,2759,0,0,0,0,0,0,
25,327,郑光铨礼服店,,119.392159,26.096259,,773,842,0,0,1263,809,5777,2725,1355,1078,
26,341,私塾,,119.392691,26.094676,,0,0,0,0,0,0,0,0,0,0,
27,404,柏龄威别墅,,119.391423,26.095784,,0,0,0,0,0,0,637,3975,0,0,
28,G,郭茂棋宅,,119.390835,26.096874,,0,0,0,0,0,0,0,0,0,0,
29,T,网球场,,119.39085,26.098864,,947,392,0,0,1211,513,5542,859,1980,610,
